id,original_language,original_title,popularity,release_date,vote_average,vote_count,genre,overview,revenue,runtime,tagline
639,en,When Harry Met Sally...,16.094,12/01/1989,7.4,3033,"['Comedy', 'Romance', 'Drama']","During their travel from Chicago to New York, Harry and Sally debate whether or not sex ruins a friendship between a man and a woman. Eleven years later, and they're still no closer to finding the answer.",92823546,96,Can two friends sleep together and still love each other in the morning?
492,en,Being John Malkovich,20.061,29/10/1999,7.4,3260,"['Comedy', 'Drama', 'Fantasy']","One day at work, unsuccessful puppeteer Craig finds a portal into the head of actor John Malkovich. The portal soon becomes a passion for anybody who enters its mad and controlling world of overtaking another human body.",22863596,113,Ever wanted to be someone else? Now you can.
153,en,Lost in Translation,25.39,18/09/2003,7.4,5657,"['Comedy', 'Drama', 'Romance']","Two lost souls visiting Tokyo -- the young, neglected wife of a photographer and a washed-up movie star shooting a TV commercial -- find an odd solace and pensive freedom to be real in each other's company, away from their lives in America.",119723856,102,Everyone wants to be found.
22538,en,Scott Pilgrim vs. the World,38.803,12/08/2010,7.4,5963,"['Comedy', 'Action', 'Romance', 'Fantasy']","As bass guitarist for a garage-rock band, Scott Pilgrim has never had trouble getting a girlfriend; usually, the problem is getting rid of them. But when Ramona Flowers skates into his heart, he finds she has the most troublesome baggage of all: an army of ex-boyfriends who will stop at nothing to eliminate him from her list of suitors.",48000000,112,Get the hot girl. Defeat her evil exes. Hit love where it hurts.
620,en,Ghostbusters,61.844,8/06/1984,7.4,6815,"['Comedy', 'Fantasy']","After losing their academic posts at a prestigious university, a team of parapsychologists goes into business as proton-pack-toting ""ghostbusters"" who exterminate ghouls, hobgoblins and supernatural pests of all stripes. An ad campaign pays off when a knockout cellist hires the squad to purge her swanky digs of demons that appear to be living in her refrigerator.",296187079,107,They ain't afraid of no ghost.
350,en,The Devil Wears Prada,48.353,30/06/2006,7.4,9624,"['Comedy', 'Drama', 'Romance']","Andy moves to New York to work in the fashion industry. Her boss is extremely demanding, cruel and won't let her succeed if she doesn't fit into the high class elegant look of their magazine.",326551094,109,Meet Andy Sachs. A million girls would kill to have her job. She's not one of them.
9090,en,"To Wong Foo, Thanks for Everything! Julie Newmar",9.263,7/09/1995,7.3,459,['Comedy'],"Three New York drag queens on their way to Hollywood for a beauty pageant get stranded in a small Midwestern town for the entire weekend when their car breaks down. While waiting for parts for their Cadillac convertible, the flamboyant trio shows the local homophobic rednecks that appearing different doesn't mean they don't have humanity in common.",47774193,109,Attitude is everything
850,en,A Christmas Story,10.571,18/11/1983,7.3,883,"['Comedy', 'Family']","The comic mishaps and adventures of a young boy named Ralph, trying to convince his parents, teachers, and Santa that a Red Ryder B.B. gun really is the perfect Christmas gift for the 1940s.",20653717,93,"Peace, Harmony, Comfort and Joy... Maybe Next Year."
177,en,The Fisher King,8.295,20/09/1991,7.3,973,"['Comedy', 'Drama']",Two troubled men face their terrible destinies and events of their past as they join together on a mission to find the Holy Grail and thus to save themselves.,41895491,138,"A Modern Day Tale About The Search For Love, Sanity, Ethel Merman And The Holy Grail."
623,en,A Fish Called Wanda,15.012,15/07/1988,7.3,1570,"['Comedy', 'Crime']","A diamond advocate is attempting to steal a collection of diamonds, yet troubles arise when he realizes that he is not the only one after the diamonds.",62493712,109,"A tale of murder, lust, greed, revenge, and seafood."
